"PIH","1347 Property Insurance Holdings, Inc.","7.35","$43.8M","2014","Finance","Property-Casualty Insurers",
"FLWS","1-800 FLOWERS.COM, Inc.","10.8","$705.04M","1999","Consumer Services","Other Specialty Stores",
"FCCY","1st Constitution Bancorp (NJ)","18.65","$148.89M","n/a","Finance","Savings Institutions",
"SRCE","1st Source Corporation","44.51","$1.15B","n/a","Finance","Major Banks",
"VNET","21Vianet Group, Inc.","7.1","$807.15M","2011","Technology","Computer Software: Programming, Data Processing",
"TWOU","2U, Inc.","29.62","$1.39B","2014","Technology","Computer Software: Prepackaged Software",
"JOBS","51job, Inc.","33.69","$2.02B","2004","Technology","Diversified Commercial Services",
"CAFD","8point3 Energy Partners LP","12.99","$1.03B","2015","Public Utilities","Electric Utilities: Central",
"EGHT","8x8 Inc","14.6","$1.32B","n/a","Public Utilities","Telecommunications Equipment",
"AVHI","A V Homes, Inc.","16.45","$371.28M","n/a","Capital Goods","Homebuilding",
"SHLM","A. Schulman, Inc.","33.85","$996.61M","1972","Basic Industries","Major Chemicals",
"AAON","AAON, Inc.","33.35","$1.76B","n/a","Capital Goods","Industrial Machinery/Components",
"ABAX","ABAXIS, Inc.","53.63","$1.21B","1992","Capital Goods","Industrial Machinery/Components",
"ABEO","Abeona Therapeutics Inc.","5","$199.8M","n/a","Health Care","Major Pharmaceuticals",
"ABEOW","Abeona Therapeutics Inc.","3.32","n/a","n/a","Health Care","Major Pharmaceuticals",
"ABIL","Ability Inc.","2.8799","$74.18M","2014","Finance","Business Services",
"ABMD","ABIOMED, Inc.","112.36","$4.87B","n/a","Health Care","Medical/Dental Instruments",
"AXAS","Abraxas Petroleum Corporation","2.67","$360.72M","n/a","Energy","Oil & Gas Production",
"ACIU","AC Immune SA","13.01","$720.7M","2016","Health Care","Major Pharmaceuticals",
"ACIA","Acacia Communications, Inc.","61.71","$2.31B","2016","Technology","Semiconductors",
"ACTG","Acacia Research Corporation","6.75","$340.63M","n/a","Miscellaneous","Multi-Sector Companies",
"ACHC","Acadia Healthcare Company, Inc.","32.89","$2.88B","n/a","Health Care","Medical Specialities",
"ACAD","ACADIA Pharmaceuticals Inc.","28.77","$3.48B","2004","Health Care","Major Pharmaceuticals",
"ACST","Acasti Pharma, Inc.","1.2857","$13.77M","n/a","Health Care","Major Pharmaceuticals",
"AXDX","Accelerate Diagnostics, Inc.","20.95","$1.08B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments",
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","n/a","n/a","n/a",
"XLRN","Acceleron Pharma Inc.","25.475","$961.59M","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"ANCX","Access National Corporation","28.14","$298.57M","n/a","Finance","Savings Institutions",
"ARAY","Accuray Incorporated","4.7","$383.96M","2007","Health Care","Medical/Dental Instruments",
"ACRX","AcelRx Pharmaceuticals, Inc.","2.55","$115.6M","2011","Health Care","Major Pharmaceuticals",
"ACET","Aceto Corporation","21.87","$657.22M","n/a","Health Care","Other Pharmaceuticals",
"AKAO","Achaogen, Inc.","13","$454.04M","2014","Health Care","Major Pharmaceuticals",
"ACHN","Achillion Pharmaceuticals, Inc.","4.11","$561.76M","2006","Health Care","Major Pharmaceuticals",
"ACIW","ACI Worldwide, Inc.","18.56","$2.18B","n/a","Technology","Computer Software: Prepackaged Software",
"ACRS","Aclaris Therapeutics, Inc.","27.95","$728.1M","2015","Health Care","Major Pharmaceuticals",
"ACNB","ACNB Corporation","31.45","$190.62M","n/a","Finance","Major Banks",
"ACOR","Acorda Therapeutics, Inc.","19.5","$899.23M","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"ATVI","Activision Blizzard, Inc","36.64","$27.23B","n/a","Technology","Computer Software: Prepackaged Software",
"ACTA","Actua Corporation","14.3","$498.92M","n/a","Technology","EDP Services",
"ACUR","Acura Pharmaceuticals, Inc.","0.84","$9.94M","n/a","Health Care","Major Pharmaceuticals",
"ACXM","Acxiom Corporation","26.46","$2.05B","n/a","Technology","EDP Services",
"ADMS","Adamas Pharmaceuticals, Inc.","16.59","$364.69M","2014","Health Care","Major Pharmaceuticals",
"ADMP","Adamis Pharmaceuticals Corporation","3.25","$70.15M","n/a","Health Care","Major Pharmaceuticals",
"ADAP","Adaptimmune Therapeutics plc","4.12","$291.64M","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"ADUS","Addus HomeCare Corporation","35.95","$412.11M","2009","Health Care","Medical/Nursing Services",
"AEY","ADDvantage Technologies Group, Inc.","1.74","$17.63M","n/a","Consumer Services","Office Equipment/Supplies/Services",
"IOTS","Adesto Technologies Corporation","2","$30.98M","2015","Technology","Semiconductors",
"ADMA","ADMA Biologics Inc","4.98","$64.18M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"ADBE","Adobe Systems Incorporated","103.48","$51.17B","1986","Technology","Computer Software: Prepackaged Software",
"ADTN","ADTRAN, Inc.","22.65","$1.1B","1994","Public Utilities","Telecommunications Equipment",
"ADRO","Aduro Biotech, Inc.","11.3","$759.16M","2015","Health Care","Major Pharmaceuticals",
"AAAP","Advanced Accelerator Applications S.A.","27.16","$1.17B","2015","Health Care","Major Pharmaceuticals",
"ADES","Advanced Emissions Solutions, Inc.","9.54","$209.9M","n/a","Basic Industries","Major Chemicals",
"AEIS","Advanced Energy Industries, Inc.","54.8","$2.17B","1995","Capital Goods","Industrial Machinery/Components",
"AMD","Advanced Micro Devices, Inc.","11.43","$10.59B","n/a","Technology","Semiconductors",
"ADXS","Advaxis, Inc.","7.49","$298.43M","n/a","Health Care","Major Pharmaceuticals",
"ADXSW","Advaxis, Inc.","4.0898","n/a","n/a","Health Care","Major Pharmaceuticals",
"ADVM","Adverum Biotechnologies, Inc.","2.95","$123.07M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"MAUI","AdvisorShares Market Adaptive Unconstrained Income ETF","23.7636","$1.19M","n/a","n/a","n/a",
"AEGN","Aegion Corp","24.04","$816.46M","n/a","Basic Industries","Water Supply",
"AGLE","Aeglea BioTherapeutics, Inc.","4.57","$61.38M","2016","Health Care","Major Pharmaceuticals",
"AEHR","Aehr Test Systems","2.38","$38.93M","1997","Capital Goods","Electrical Products",
"AMTX","Aemetis, Inc","1.54","$30.58M","n/a","Basic Industries","Major Chemicals",
"AEPI","AEP Industries Inc.","116.9","$597.8M","1986","Capital Goods","Specialty Chemicals",
"AERI","Aerie Pharmaceuticals, Inc.","38.75","$1.29B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AVAV","AeroVironment, Inc.","26.93","$629.84M","2007","Capital Goods","Aerospace",
"AEZS","AEterna Zentaris Inc.","3.5","$41.9M","n/a","Health Care","Major Pharmaceuticals",
"AEMD","Aethlon Medical, Inc.","4.018","$31.04M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments",
"GNMX","Aevi Genomic Medicine, Inc.","5.44","$201.81M","n/a","n/a","n/a",
"AFMD","Affimed N.V.","2.1","$69.84M","2014","Health Care","Major Pharmaceuticals",
"AGEN","Agenus Inc.","4.16","$362.44M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AGRX","Agile Therapeutics, Inc.","5","$143.79M","2014","Health Care","Major Pharmaceuticals",
"AGYS","Agilysys, Inc.","10.8","$252.71M","n/a","Technology","EDP Services",
"AGIO","Agios Pharmaceuticals, Inc.","43.22","$1.82B","2013","Health Care","Major Pharmaceuticals",
"AGNC","AGNC Investment Corp.","18.57","$6.15B","2008","Consumer Services","Real Estate Investment Trusts",
"AGNCB","AGNC Investment Corp.","25.06","$8.68B","n/a","Consumer Services","Real Estate Investment Trusts",
"AGNCP","AGNC Investment Corp.","25.37","n/a","n/a","Consumer Services","Real Estate Investment Trusts",
"AGFS","AgroFresh Solutions, Inc.","2.55","$127.31M","2014","Finance","Business Services",
"AGFSW","AgroFresh Solutions, Inc.","0.18","n/a","2014","Finance","Business Services",
"AIMT","Aimmune Therapeutics, Inc.","20.58","$872.23M","2015","Health Care","Major Pharmaceuticals",
"AIRM","Air Methods Corporation","33.4","$1.22B","n/a","Transportation","Transportation Services",
"AIRT","Air T, Inc.","22.54","$46.04M","n/a","Transportation","Air Freight/Delivery Services",
"ATSG","Air Transport Services Group, Inc","16.46","$980.49M","n/a","Transportation","Air Freight/Delivery Services",
"AIRG","Airgain, Inc.","13.89","$128.7M","2016","Technology","Radio And Television Broadcasting And Communications Equipment",
"AMCN","AirMedia Group Inc","2.475","$153.94M","2007","Technology","Advertising",
"AKAM","Akamai Technologies, Inc.","67.57","$11.71B","1999","Miscellaneous","Business Services",
"AKTX","Akari Therapeutics Plc","7.5","$88.33M","n/a","Health Care","Major Pharmaceuticals",
"AKBA","Akebia Therapeutics, Inc.","10.5","$402.41M","2014","Health Care","Major Pharmaceuticals",
"AKER","Akers Biosciences Inc","1.9","$10.36M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",
"AKRX","Akorn, Inc.","22.07","$2.76B","n/a","Health Care","Major Pharmaceuticals",
"ALRM","Alarm.com Holdings, Inc.","27.56","$1.27B","2015","Technology","Computer Software: Prepackaged Software",
"ALSK","Alaska Communications Systems Group, Inc.","1.64","$84.23M","1999","Public Utilities","Telecommunications Equipment",
"AMRI","Albany Molecular Research, Inc.","18.87","$809.35M","1999","Health Care","Biotechnology: Commercial Physical & Biological Resarch",
"ALBO","Albireo Pharma, Inc.","18.99","$119.5M","n/a","Health Care","Major Pharmaceuticals",
"ABDC","Alcentra Capital Corp.","12.09","$163.1M","n/a","n/a","n/a",
"ADHD","Alcobra Ltd.","2.21","$60.91M","2013","Health Care","Major Pharmaceuticals",
"ALDR","Alder BioPharmaceuticals, Inc.","21.25","$1.07B","2014","Health Care","Major Pharmaceuticals",
"ALDX","Aldeyra Therapeutics, Inc.","5.1","$64.14M","2014","Health Care","Major Pharmaceuticals",
"ALXN","Alexion Pharmaceuticals, Inc.","122.63","$27.5B","1996","Health Care","Major Pharmaceuticals",
"ALCO","Alico, Inc.","26.85","$223.52M","n/a","Consumer Non-Durables","Farming/Seeds/Milling",
"ALGN","Align Technology, Inc.","96.96","$7.73B","2001","Health Care","Industrial Specialties",
"ALIM","Alimera Sciences, Inc.","1.12","$72.65M","2010","Health Care","Major Pharmaceuticals",
"ALJJ","ALJ Regional Holdings, Inc.","4.2","$145.21M","n/a","Miscellaneous","Business Services",
"ALKS","Alkermes plc","56.1","$8.53B","1991","Health Care","Major Pharmaceuticals",
"ABTX","Allegiance Bancshares, Inc.","35.85","$462.65M","2015","Finance","Major Banks",
"ALGT","Allegiant Travel Company","166.1","$2.75B","2006","Transportation","Air Freight/Delivery Services",
"AIQ","Alliance HealthCare Services, Inc.","9.6","$103.09M","2001","Health Care","Medical Specialities",
"AHGP","Alliance Holdings GP, L.P.","28.19","$1.69B","2006","Energy","Coal Mining",
"AMMA","Alliance MMA, Inc.","3.75","$33.65M","2016","Consumer Services","Services-Misc. Amusement & Recreation",
"ARLP","Alliance Resource Partners, L.P.","22.8","$1.7B","1999","Energy","Coal Mining",
"AHPI","Allied Healthcare Products, Inc.","2.06","$8.27M","1992","Health Care","Industrial Specialties",
"AMOT","Allied Motion Technologies, Inc.","22.35","$209.45M","n/a","Capital Goods","Electrical Products",
"ALQA","Alliqua BioMedical, Inc.","0.635","$18.84M","n/a","Health Care","Medical/Dental Instruments",
"ALLT","Allot Communications Ltd.","5.15","$172.82M","2006","Technology","Computer Communications Equipment",
"MDRX","Allscripts Healthcare Solutions, Inc.","10.93","$2.02B","n/a","Technology","EDP Services",
"AFAM","Almost Family Inc","45.4","$470.94M","n/a","Health Care","Medical/Nursing Services",
"ALNY","Alnylam Pharmaceuticals, Inc.","38.64","$3.32B","2004","Health Care","Major Pharmaceuticals",
"AOSL","Alpha and Omega Semiconductor Limited","21.61","$503.42M","2010","Technology","Semiconductors",
"GOOG","Alphabet Inc.","786.14","$541.84B","2004","Technology","Computer Software: Programming, Data Processing",
"GOOGL","Alphabet Inc.","808.01","$556.91B","n/a","Technology","Computer Software: Programming, Data Processing",
"SMCP","AlphaMark Actively Managed Small Cap ETF","22.3","$24.53M","n/a","n/a","n/a",
"ATEC","Alphatec Holdings, Inc.","3.22","$28.69M","2006","Health Care","Medical/Dental Instruments",
"ASPS","Altisource Portfolio Solutions S.A.","26.9","$507.81M","n/a","Consumer Services","Other Consumer Services",
"AIMC","Altra Industrial Motion Corp.","37.65","$974.54M","2006","Capital Goods","Industrial Machinery/Components",
"AMAG","AMAG Pharmaceuticals, Inc.","33.95","$1.16B","n/a","Health Care","Major Pharmaceuticals",
"AMRN","Amarin Corporation plc","3.09","$834.15M","n/a","Health Care","Major Pharmaceuticals",
"AMRK","A-Mark Precious Metals, Inc.","19.32","$135.85M","n/a","Basic Industries","Other Specialty Stores",
"AYA","Amaya Inc.","14.45","$2.1B","n/a","Technology","Computer Software: Programming, Data Processing",
"AMZN","Amazon.com, Inc.","753.67","$358.12B","1997","Consumer Services","Catalog/Specialty Distribution",
"AMBC","Ambac Financial Group, Inc.","22.54","$1.02B","n/a","Finance","Property-Casualty Insurers",
"AMBCW","Ambac Financial Group, Inc.","11.974","n/a","n/a","Finance","Property-Casualty Insurers",
"AMBA","Ambarella, Inc.","52.54","$1.74B","2012","Technology","Semiconductors",
"AMCX","AMC Networks Inc.","53.55","$3.77B","n/a","Consumer Services","Television Services",
"DOX","Amdocs Limited","58.19","$8.54B","n/a","Technology","EDP Services",
"AMDA","Amedica Corporation","0.6471","$17.09M","2014","Health Care","Medical/Dental Instruments",
"AMED","Amedisys Inc","42.52","$1.43B","n/a","Health Care","Medical/Nursing Services",
"UHAL","Amerco","368.28","$7.22B","n/a","Consumer Services","Rental/Leasing Companies",
"ATAX","America First Multifamily Investors, L.P.","5.4","$325.37M","n/a","Finance","Finance: Consumer Services",
"AMOV","America Movil, S.A.B. de C.V.","12.58","$41.24B","n/a","Public Utilities","Telecommunications Equipment",
"AAL","American Airlines Group, Inc.","46.3","$23.99B","n/a","Transportation","Air Freight/Delivery Services",
"ACSF","American Capital Senior Floating, Ltd.","11.9","$119M","2014","n/a","n/a",
"AETI","American Electric Technologies, Inc.","1.55","$12.92M","n/a","Energy","Industrial Machinery/Components",
"AMNB","American National Bankshares, Inc.","35.1","$302.4M","n/a","Finance","Major Banks",
"ANAT","American National Insurance Company","124.45","$3.35B","n/a","Finance","Life Insurance",
"AOBC","American Outdoor Brands Corporation","21.51","$1.21B","n/a","n/a","n/a",
"APEI","American Public Education, Inc.","24.8","$399.18M","2007","Consumer Services","Other Consumer Services",
"ARII","American Railcar Industries, Inc.","45.8","$886.77M","2006","Capital Goods","Railroads",
"AMRB","American River Bankshares","15.7","$104.51M","n/a","Finance","Major Banks",
"AMSWA","American Software, Inc.","10.38","$303.55M","n/a","Technology","Computer Software: Prepackaged Software",
"AMSC","American Superconductor Corporation","7.42","$105.36M","1991","Consumer Durables","Metal Fabrications",
"AMWD","American Woodmark Corporation","76.35","$1.24B","1986","Basic Industries","Forest Products",
"CRMT","America&#39;s Car-Mart, Inc.","43.9","$346.87M","n/a","Consumer Durables","Automotive Aftermarket",
"ABCB","Ameris Bancorp","43.7","$1.53B","1994","Finance","Major Banks",
"AMSF","AMERISAFE, Inc.","63.05","$1.21B","2005","Finance","Property-Casualty Insurers",
"ASRV","AmeriServ Financial Inc.","3.7","$69.94M","n/a","Finance","Major Banks",
"ASRVP","AmeriServ Financial Inc.","26.9899","n/a","n/a","Finance","Major Banks",
"ATLO","Ames National Corporation","33.05","$307.73M","n/a","Finance","Major Banks",
"AMGN","Amgen Inc.","150.73","$112.13B","1983","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"FOLD","Amicus Therapeutics, Inc.","5.13","$730.13M","2007","Health Care","Major Pharmaceuticals",
"AMKR","Amkor Technology, Inc.","10.65","$2.53B","1998","Technology","Semiconductors",
"AMPH","Amphastar Pharmaceuticals, Inc.","18.5","$851.44M","2014","Health Care","Major Pharmaceuticals",
"IBUY","Amplify Online Retail ETF","27.4141","n/a","n/a","n/a","n/a",
"ASYS","Amtech Systems, Inc.","4.16","$54.83M","n/a","Technology","Industrial Machinery/Components",
"AFSI","AmTrust Financial Services, Inc.","27.27","$4.65B","n/a","Finance","Property-Casualty Insurers",
"AMRS","Amyris, Inc.","0.746","$196.21M","2010","Basic Industries","Major Chemicals",
"ADI","Analog Devices, Inc.","72.505","$22.34B","n/a","Technology","Semiconductors",
"ALOG","Analogic Corporation","82.55","$1.03B","1972","Capital Goods","Electrical Products",
"AVXL","Anavex Life Sciences Corp.","4.11","$162.8M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch",
